ADM1,ADM0,CODDEPT,TP1973,UP1973,RP1973,TP1985,UP1985,RP1985,TP1993,UP1993,RP1993,MALARI98,TP1995,UP1995,RP1995,TP1996,UP1996,RP1996,TP1997,UP1997,RP1997,TP1998,UP1998,RP1998,TP1999,UP1999,RP1999,TP2000,UP2000,RP2000,TP2001,UP2001,RP2001,TP2002,UP2002,RP2002,TP2003,UP2003,RP2003,TP2004,UP2004,RP2004,TP2005,UP2005,RP2005
Amazonas,COLOMBIA,91,15687,5849,2462,39937,20279,19658,56399,20544,35855,1536,60878,22444,38434,62823,23326,39497,64735,24206,40529,66638,25093,41545,68569,25999,42570,70489,26912,43577,72445,27848,44597,74403,28796,45607,76381,29762,46619,78403,30757,47646,80487,31784,48703
Antioquia,COLOMBIA,05,3176695,1996678,1180012,4067663,2687709,1379954,4919619,3439311,1480308,23946,4987824,3523284,1464540,5065232,3593197,1472035,5133439,3663997,1469442,5211843,3735512,1476331,5289860,3807439,1482421,5367221,3879632,1487589,5444134,3952117,1492017,5521056,4025269,1495787,5597894,4098731,1499163,5674169,4172454,1501715,5750057,4246517,1503540
Arauca,COLOMBIA,81,46605,18887,27718,89972,48729,41243,185882,94181,91701,1694,198720,101906,96814,207099,106959,100140,215410,112037,103373,223681,117154,106527,232013,122365,109648,240190,127554,112636,248440,132841,115599,256664,138174,118490,264888,143568,121320,273136,149034,124102,281435,154588,126847
Atlantico,COLOMBIA,08,1028934,954945,73989,1478213,1392480,85733,1837468,1712321,125147,55,1902878,1774795,128083,1946374,1816143,130231,1990465,1858082,132383,2035351,1900805,134546,2081038,1944315,136723,2127567,1988647,138920,2174929,2033795,141134,2223229,2079869,143360,2272170,2126584,145586,2321446,2173654,147792,2370753,2220795,149958
Bogota,COLOMBIA,11,2861913,2845361,16552,4236490,4227706,8784,5484244,5469105,15139,191,5678342,5663125,15217,5815511,5800216,15295,5956995,5941626,15369,6112196,6096732,15464,6276428,6260862,15566,6437842,6422198,15644,6573291,6557581,15710,6712247,6696473,15774,6865997,6850205,15792,7029928,7014111,15817,7185889,7170008,15881
Bolivar,COLOMBIA,13,980606,558619,397898,1288984,852455,436529,1702188,1092578,609610,0,1766388,1162006,604382,1775143,1196149,578994,1811157,1231247,579910,1849901,1266590,583311,1895068,1298802,596266,1940069,1334548,605521,1985383,1370737,614646,2030904,1407276,623628,2076547,1444126,632421,2122223,1481230,640993,2167869,1518528,649341
Boyaca,COLOMBIA,15,1039822,323782,716040,1209739,427359,782380,1315579,531111,784468,698,1312732,541344,771388,1323093,551967,771126,1333677,562773,770904,1344148,573635,770513,1354669,584626,770043,1365110,595677,769433,1375222,606684,768538,1385184,617717,767467,1394952,628770,766182,1404309,639723,764586,1413064,650496,762568
Caldas,COLOMBIA,17,744221,409642,334579,883024,536410,346614,1030062,638174,391888,143,1042284,650502,391782,1055143,660927,394216,1068146,671508,396638,1081288,682229,399059,1094451,693022,401429,1107627,703881,403746,1120692,714726,405966,1133791,725653,408138,1146846,736611,410235,1159779,747545,412234,1172510,758405,414105
Caqueta,COLOMBIA,18,174714,49743,124971,258616,112395,146221,367898,158952,208946,2657,378511,166680,211831,386157,171648,214509,384909,176394,208515,392760,181557,211203,401002,186966,214036,409466,192544,216922,418122,198285,219837,426986,204188,222798,436035,210258,225777,445281,216491,228790,454671,222874,231797
Casanare,COLOMBIA,85,91318,19922,71396,147472,47636,97203,211329,93470,117859,76,245839,110054,135785,253682,114374,139308,261576,118762,142814,269508,123223,146285,277540,127778,149762,285416,132313,153103,293391,136942,156449,301387,141636,159751,309398,146385,163013,317406,151184,166222,325389,156023,169366
Cauca,COLOMBIA,19,716855,194857,521998,857751,297140,560611,1127678,391934,735744,1144,1151840,406373,745467,1171747,416493,755254,1186544,426949,759595,1207071,437605,769466,1227993,448527,779466,1249258,459689,789569,1270862,471106,799756,1292794,482768,810026,1315040,494682,820358,1337620,506843,830777,1360420,519229,841191
Cesar,COLOMBIA,20,470055,227749,223765,699428,360584,338844,827219,499996,327223,88,876779,534820,341959,892992,547286,345706,909626,560104,349522,926587,573221,353366,943892,586651,357241,961535,600386,361149,979443,614384,365059,997577,628634,368943,1015889,643096,372793,1034435,657807,376628,1053123,672712,380411
Choco,COLOMBIA,27,251223,65593,185630,313567,107731,205836,406199,146062,260137,80560,402528,149875,252653,403266,151301,251965,396418,151688,244730,397336,152933,244403,398415,154236,244179,399560,155578,243982,400844,156977,243867,402374,158476,243898,404073,160055,244018,406099,161773,244326,408470,163631,244839
Cordoba,COLOMBIA,23,734424,273425,460999,1013247,425423,587824,1275623,585661,689962,13415,1248353,581449,666904,1263361,592643,670718,1249057,601164,647893,1263430,611724,651706,1277578,622245,655333,1291782,632860,658922,1306000,643550,662450,1320126,654262,665864,1334307,665072,669235,1348591,675997,672594,1362938,687023,675915
Cundinamarca,COLOMBIA,25,1176003,427691,748312,1512928,674888,838040,1875337,1004510,870827,39,1914143,1040205,873938,1956519,1071324,885195,1992336,1102829,889507,2035970,1135263,900707,2079306,1167850,911456,2121887,1200359,921528,2163810,1232813,930997,2204904,1265117,939787,2245004,1297171,947833,2283277,1328451,954826,2318214,1357927,960287
Guajira,COLOMBIA,44,249637,95295,154342,299995,163494,136501,433361,275631,157730,501,442703,287943,154760,426505,292924,133581,434306,298513,135793,442234,304199,138035,450261,309972,140289,458415,315844,142571,466669,321800,144869,475038,327851,147187,483516,333993,149523,492089,340217,151872,500748,346517,154231
Guania,COLOMBIA,94,6337,1493,5144,12345,4244,8101,28290,4425,23865,163,30898,4891,26007,32103,5119,26984,33309,5348,27961,34511,5580,28931,35727,5817,29910,36917,6052,30865,38117,6292,31825,39316,6534,32782,40517,6779,33738,41713,7026,34687,42909,7276,35633
Guaviare,COLOMBIA,95,14452,501,11604,47073,15500,31573,97602,23037,74565,18758,101783,24315,77468,104825,25221,79604,107877,26137,81740,110948,27071,83877,114083,28028,86055,117189,28990,88199,120361,29981,90380,123560,30987,92573,126795,32014,94781,130076,33062,97014,133411,34136,99275
Huila,COLOMBIA,41,486853,242864,243989,693712,360657,333055,843798,488001,355797,2,857549,503320,354229,870377,514592,355785,883637,526236,357401,897165,538152,359013,910949,550349,360600,924968,562802,362166,939136,575473,363663,953426,588343,365083,967831,601417,366414,982263,614631,367632,996617,627919,368698
Magdalena,COLOMBIA,47,720902,291846,429056,890934,410804,480130,1127691,655519,472172,44,1159660,683567,476093,1149434,701855,447579,1174479,721687,452792,1198862,741308,457554,1223051,760989,462062,1246620,780476,466144,1270334,800231,470103,1293723,819962,473761,1317132,839886,477246,1340910,860232,480678,1365408,881217,484191
Meta,COLOMBIA,50,261854,151420,105172,474046,284696,189350,615323,384312,231011,5549,633938,399046,234892,646348,409034,237314,659373,419497,239876,672761,430276,242485,686489,441360,245129,700506,452721,247785,714659,464254,250405,729023,476024,252999,743597,488023,255574,758316,500206,258110,772853,512362,260491
Narino,COLOMBIA,52,882389,325088,557301,1085173,428686,656487,1443671,594578,849093,5665,1482788,621711,861077,1513005,639983,873022,1543075,658418,884657,1572964,676984,895980,1602933,695798,907135,1632093,714481,917612,1661323,733400,927923,1690354,752441,937913,1719162,771586,947576,1747711,790825,956886,1775973,810128,965845
Norte de Santander,COLOMBIA,54,757529,400509,357020,913491,594244,319247,1162524,813631,348893,1097,1199492,862199,337293,1227641,887069,340572,1256713,912790,343923,1286453,939213,347240,1316119,965785,350334,1345697,992497,353200,1375374,1019477,355897,1405297,1046847,358450,1435237,1074430,360807,1464956,1102046,362910,1494219,1129509,364710
Putumayo,COLOMBIA,86,71680,24703,42633,174219,58205,116014,219609,70006,149603,4255,269605,84410,185195,277563,87521,190042,285650,90706,194944,293851,93963,199888,302238,97320,204918,310538,100683,209855,319019,104144,214875,327605,107674,219931,336279,111275,225004,345028,114939,230089,353840,118663,235177
Quindio,COLOMBIA,63,353868,248864,105004,392208,320629,71579,495212,412581,82631,104,509063,425652,83411,519509,435167,84342,530183,444902,85281,540942,454744,86198,551746,464654,87092,562156,474264,87892,572565,483903,88662,582966,493566,89400,593218,503135,90083,603185,512487,90698,612719,521503,91216
Risaralda,COLOMBIA,66,498609,321302,177307,652872,452766,200106,844184,617766,226418,3043,863549,636716,226833,879352,650835,228517,895443,665250,230193,911708,679879,231829,928196,694764,233432,944298,709444,234854,960585,724346,236239,976964,739406,237558,993332,754543,238789,1009556,769656,239900,1025539,784667,240872
San Andres y Providencia,COLOMBIA,98,0,0,0,0,0,0,0,0,0,0,63915,45211,18704,65750,46635,19115,67612,48085,19527,69525,49580,19945,71485,51115,20370,73465,52670,20795,75445,54232,21213,77446,55817,21629,79459,57419,22040,81453,59015,22438,83403,60582,22821
Santander,COLOMBIA,68,1233575,661505,570976,1511392,897015,614377,1811741,1209793,601948,425,1835882,1240911,594971,1861391,1265734,595657,1887067,1290855,596212,1912911,1316287,596624,1938910,1342019,596891,1964361,1367562,596799,1989666,1393188,596478,2014590,1418736,595854,2039336,1444334,595002,2063451,1469663,593788,2086649,1494514,592135
Sucre,COLOMBIA,70,412047,191781,216565,561648,297181,264467,701105,463377,237728,72,720382,480092,240290,734641,491622,243019,749333,503516,245817,764240,515638,248602,779370,527985,251385,794631,540512,254119,809647,552949,256698,824668,565473,259195,839770,578129,261641,854948,590917,264031,870219,603857,266362
Tolima,COLOMBIA,73,957193,493859,463334,1142220,610239,531981,1286078,760962,525116,175,1277675,766266,511409,1272383,773522,498861,1276030,780858,495172,1279720,788247,491473,1283647,795799,487848,1287534,803363,484171,1291462,810972,480490,1295393,818606,476787,1299312,826264,473048,1302998,833796,469202,1306277,841091,465186
Valle del Cauca,COLOMBIA,76,2392715,1813566,579149,3027247,2474884,552363,3736090,3133470,602620,18377,3817890,3218161,599729,3888987,3287863,601124,3961324,3358953,602371,4033071,3429866,603205,4104475,3500830,603645,4175515,3571798,603717,4246896,3643387,603509,4318191,3715237,602954,4389486,3787421,602065,4460850,3860013,600837,4532378,3933049,599329
Vaupes,COLOMBIA,97,8798,1579,5531,26178,4854,21324,20989,4388,16601,120,22663,4795,17868,23232,4951,18281,23797,5106,18691,24358,5264,19094,24923,5423,19500,25473,5582,19891,26026,5741,20285,26573,5903,20670,27118,6064,21054,27658,6227,21431,28195,6391,21804
Vichada,COLOMBIA,99,5668,220,5340,12237,3987,6771,47372,9449,37923,898,66466,10241,56225,70420,10927,59493,74019,11566,62453,77340,12170,65170,80491,12754,67737,83467,13317,70150,86296,13863,72433,88899,14380,74519,91357,14876,76481,93745,15368,78377,96138,15865,80273
